Lot Name,Description,Parkmaster Lot Id,Images?,Direct Link,PM2020 ADDR,PM2020 Facility Overview,PM2020 Facility Highlights
CLT - 4601 Park Rd,4601 Park Road,447,no,https://www.preferredparking.com/lotdetails.aspx?lotid=447,4601 Park Rd.,Surface Lot Parking in the heart of the Park Road corridor,Convenient parking for your destination.
CLT - 500 N. Tryon Street,500 N. Tryon Street,585,no,https://www.preferredparking.com/lotdetails.aspx?lotid=585,500 N. Tryon St.,Surface Lot Parking in the heart of North Tryon corridor,Convenient parking for your destination.
CLT - 513 E 35th,513 E. 35 Street,354,no,https://www.preferredparking.com/lotdetails.aspx?lotid=354,513 E. 35th St.,Surface Lot Parking in the heart of NoDa,Convenient parking for your destination.
CLT - 515 N Church,515 N. Church Street,115,no,https://www.preferredparking.com/lotdetails.aspx?lotid=115,515 N. Church St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 515 N Church RES,515 N Church Residential Users,209,no,https://www.preferredparking.com/lotdetails.aspx?lotid=209,515 N. Church St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 521 N College,521 N. College Street,47,no,https://www.preferredparking.com/lotdetails.aspx?lotid=47,521 N. College St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 601A S. Cedar Street,601A S. Cedar Street,389,no,https://www.preferredparking.com/lotdetails.aspx?lotid=389,601A S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 601B S. Cedar Street,601B S. Cedar Street,390,no,https://www.preferredparking.com/lotdetails.aspx?lotid=390,601B S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 601B2 S. Cedar Street,601B2 S. Cedar Street,391,no,https://www.preferredparking.com/lotdetails.aspx?lotid=391,601B2 S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 601C S. Cedar Street,601C S. Cedar Street,392,no,https://www.preferredparking.com/lotdetails.aspx?lotid=392,601C S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 601E S. Cedar Street,601E S. Cedar Street,393,no,https://www.preferredparking.com/lotdetails.aspx?lotid=393,601E S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 601F S. Cedar Street,601F S. Cedar Street,535,no,https://www.preferredparking.com/lotdetails.aspx?lotid=535,601F S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 601H S. Cedar Street,505 S. Cedar Street,395,no,https://www.preferredparking.com/lotdetails.aspx?lotid=395,505 S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 618 E Morehead St,618 E Morehead St,688,no,https://www.preferredparking.com/lotdetails.aspx?lotid=688,618 E. Morehead St.,Surface Lot Parking in the heart of Dilworth,Convenient parking for your destination.
CLT - 701 E 5th,701 East 5th Street,352,no,https://www.preferredparking.com/lotdetails.aspx?lotid=352,701 E. 5th St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 831 Morehead Tenants,831 E. Morehead St,646,no,https://www.preferredparking.com/lotdetails.aspx?lotid=646,831 E. Morehead St.,Surface Lot Parking in the heart of Dilworth,Convenient parking for your destination.
CLT - 919 S Mcdowell,919 S Mcdowell,616,no,https://www.preferredparking.com/lotdetails.aspx?lotid=616,919 S. McDowell St.,Surface Lot Parking in the heart of Midtown Charlotte,Convenient parking for your destination.
CLT - 1000 - Boxer Building,1000 W Morehead,341,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=341,1000 W. Morehead St.,Surface Lot Parking in the heart of FreeMoreWest,Convenient parking for your destination.
CLT - 1001 Morehead,1001 Morehead Square,114,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=114,1001 Morehead Sq.,Surface Lot Parking in the heart of Dilworth,Convenient parking for your destination.
CLT - 1023 W Morehead,1023 W Morehead St,255,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=255,1023 W. Morehead St.,Surface Lot Parking in the heart of FreeMoreWest,Convenient parking for your destination.
CLT - 1025 S Cedar,1025 S Cedar St,271,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=271,1025 S. Cedar St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 115 East Blvd,115 East Blvd,672,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=672,115 East Blvd.,Surface Lot Parking in the heart of Dilworth,Convenient parking for your destination.
CLT - 118 S Church,118 S. Church Street,249,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=249,118 S. Church St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 120 N Myers,120 N. Myers Street,49,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=49,120 N. Myers St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 122 Freeland,122 Freeland,605,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=605,122 Freeland Ln.,Surface Lot Parking in the heart of Lower South End,Convenient parking for your destination.
CLT - 124 S Poplar,124 South Poplar Street,2,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=2,124 S. Poplar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 131 Winona St,131 Winona St,385,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=385,131 Winona St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1310 S Tryon St,1310 S Tryon St,340,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=340,1310 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1426 S Tryon St,1426 S Tryon St,529,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=529,1426 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 1435 S Tryon St,1435 S Tryon St,504,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=504,1435 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 148 W Morehead St,148 W. Morehead Street,345,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=345,148 W. Morehead St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 201 N Irwin Ave,201 N Irwin Ave,69,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=69,201 N. Irwin Ave.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 206 AP Surface,Auto Park Garage Surface,564,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=564,209 S. Poplar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 206 S Graham St,206 S Graham Street,42,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=42,206 S. Graham St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 208 S Poplar St,208 S Poplar St,19,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=19,208 S. Poplar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 210 S Brevard St,210 S. Brevard Street,208,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=208,210 S. Brevard St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 212 S Graham St,212 S Graham St,105,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=105,212 S. Graham St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 214 N Graham St,214 N Graham Street,81,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=81,214 N. Graham St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 214 W Tremont Ave,214 W. Tremont Ave,357,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=357,214 W. Tremont Ave.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 221 N Caldwell St,221 N Caldwell Street,124,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=124,221 N. Caldwell St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 225 S Mint St,225 S Mint Street,5,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=5,225 S. Mint St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 227 Southside Dr,227 Southside Dr,517,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=517,227 Southside Dr.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 228 S Church St,228 S Church St,43,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=43,228 S. Church St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 241 N Alexander St,241 N Alexander St,270,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=270,241 N. Alexander St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 300 Rampart St,300 Rampart St,620,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=620,300 Rampart St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
CLT - 300 S Davidson St,300 S Davidson St- 1st Baptist,120,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=120,300 S. Davidson St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 301 S Brevard St,301 S Brevard St,582,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=582,301 S. Brevard St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 309 W Trade St,309 W Trade St,101,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=101,309 W. Trade St.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 325 E 9th St,325 E 9th Street,305,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=305,325 E. 9th St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 401 N McDowell,401 N. McDowell Street,482,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=482,401 N. McDowell St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 401P W 6th,401 W. 6th Street,122,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=122,401 W. 6th St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 402 E 4th,402 E. Fourth St.,14,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=14,402 E. 4th St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 406 E Trade,407 E. Fourth St,32,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=32,407 E. 4th St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 418 E 7th,418 E. 7th Street,304,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=304,418 E. 7th St.,Surface Lot Parking in the heart of First Ward,Convenient parking for your destination.
CLT - 463 E 3rd St,463 E 3rd St,678,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=678,463 E. 3rd St.,Surface Lot Parking in the heart of Second Ward,Convenient parking for your destination.
CLT - 501 W Trade,501 W Trade St,379,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=379,501 W. Trade St.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 512 W MLK,510-512 W. MLK Jr. Blvd.,346,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=346,512 W. MLK Jr. Blvd.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 521 E Morehead,521 E. Morehead Street,251,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=251,521 E. Morehead St.,Surface Lot Parking in the heart of Dilworth,Convenient parking for your destination.
CLT - 525 N Tryon,525 N. Tryon Garage,268,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=268,525 N. Tryon St.,Surface Lot Parking in the heart of North Tryon corridor,Convenient parking for your destination.
CLT - 531 W 4th St,531 W 4th St,657,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=657,531 W. 4th St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 600 N Tryon,600 N. Tryon St.,54,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=54,600 N. Tryon St.,Surface Lot Parking in the heart of North Tryon corridor,Convenient parking for your destination.
CLT - 600 W 8th,600 W. 8th St.,414,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=414,600 W. 8th St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 601 W Trade,601 W Trade Street,53,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=53,601 W. Trade St.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 610 E Morehead,610 E Morehead Street,252,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=252,610 E. Morehead St.,Surface Lot Parking in the heart of Dilworth,Convenient parking for your destination.
CLT - 616 N Tryon,616 N. Tryon Street,75,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=75,616 N. Tryon St.,Surface Lot Parking in the heart of North Tryon corridor,Convenient parking for your destination.
CLT - 624 S Cedar,624 S Cedar St,339,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=339,624 S. Cedar St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 630 Garage,630 N. Church St Garage,315,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=315,630 N. Church St.,Surface Lot Parking in the heart of Fourth Ward,Convenient parking for your destination.
CLT - 709 W Trade St,709 W Trade St,542,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=542,709 W. Trade St.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 727 W Trade,727 W. 4th St.,223,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=223,727 W. 4th St.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 800 Westmere Ave,800 Westmere Ave,394,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=394,800 Westmere Ave.,Surface Lot Parking in the heart of Third Ward,Convenient parking for your destination.
CLT - 901 W Trade St Surface,Gateway Center Surface Lot,372,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=372,901 W. Trade St.,Surface Lot Parking in the heart of Gateway District,Convenient parking for your destination.
CLT - 907 S Tryon,907 S. Tryon Street,206,yes,https://www.preferredparking.com/lotdetails.aspx?lotid=206,907 S. Tryon St.,Surface Lot Parking in the heart of South End,Convenient parking for your destination.
