Lot Name,Lot ID,Lot Title,Facility Highlights,Facility Overview,Address 1,Address 2
CHS - 4289 State Road,649,4289 State Road Lot,Paid public parking in the Park Circle area of North Charleston.,"Convenient parking for Park Circle shops, restaurants, and nearby destinations.",4289 State Rd.,"North Charleston, SC 29405"
CHS - 4334 Spruill Avenue,648,4334 Spruill Avenue Lot,Paid public parking in the Park Circle area of North Charleston.,"Convenient parking for Park Circle shops, restaurants, and nearby destinations.",4334 Spruill Ave.,"North Charleston, SC 29405"
GSO - 120 E Washington,28,120 East Washington Street Lot,Paid public parking in downtown Greensboro.,Convenient parking for nearby downtown Greensboro destinations.,120 E. Washington St.,"Greensboro, NC 27401"
GSO - 120WF,192,120 East Washington Street Lot,Free public parking in downtown Greensboro.,Convenient free parking for nearby downtown Greensboro destinations.,120 E. Washington St.,"Greensboro, NC 27401"
GSO - 123 W Lewis,233,123 West Lewis Street Lot,Paid public parking in downtown Greensboro.,Convenient parking for nearby downtown Greensboro destinations.,123 W. Lewis St.,"Greensboro, NC 27406"
GSO - 123L 5am thru 5pm,279,123 West Lewis Street Lot,Public parking available from 5 a.m. to 5 p.m. in downtown Greensboro.,Convenient daytime parking for nearby downtown Greensboro destinations.,123 W. Lewis St.,"Greensboro, NC 27406"
GSO - 229F Free,276,229 South Elm Street Free Lot,Free public parking in downtown Greensboro.,Convenient free parking for nearby downtown Greensboro destinations.,229 S. Elm St.,"Greensboro, NC 27401"
GSO - 404 S Eugene,660,404 South Eugene Street Lot,Paid public parking in downtown Greensboro.,Convenient parking for nearby downtown Greensboro destinations.,404 S. Eugene St.,"Greensboro, NC 27401"
GSO - 405 W Washington,486,405 West Washington Street Lot,Paid public parking in downtown Greensboro.,Convenient parking for nearby downtown Greensboro destinations.,405 W. Washington St.,"Greensboro, NC 27401"
GSO - 422 Friendly,310,422 West Friendly Avenue Lot,Paid public parking in downtown Greensboro.,Convenient parking for nearby downtown Greensboro destinations.,422 W. Friendly Ave.,"Greensboro, NC 27401"
GSO - 510 6AM to 6PM,601,510 South Elm Street Lot,Public parking available from 6 a.m. to 6 p.m. in downtown Greensboro.,Convenient daytime parking for nearby downtown Greensboro destinations.,510 S. Elm St.,"Greensboro, NC 27406"
GSO - 510 S Elm,140,510 South Elm Street Lot,Paid public parking in downtown Greensboro.,Convenient parking for nearby downtown Greensboro destinations.,510 S. Elm St.,"Greensboro, NC 27406"
JAX - 278 S Pearl St,687,278 South Pearl Street Lot,Paid public parking in downtown Jacksonville near South Pearl Street.,"Convenient parking for downtown Jacksonville offices, restaurants, and nearby destinations.",278 S. Pearl St.,"Jacksonville, FL 32202"
PEM-810 W. Third,675,810 West Third Street Lot,Commuter student parking near UNC Pembroke.,Convenient parking for UNC Pembroke campus access.,810 W. Third St.,"Pembroke, NC 28372"
STP-1405 Central Avenue,531,1405 Central Avenue Lot,Paid public parking in the Grand Central District of St. Petersburg.,"Convenient parking for Central Avenue shops, restaurants, and nearby destinations.",1405 Central Ave.,"St. Petersburg, FL 33705"
STP-1440 1st Avenue N Street,559,1440 1st Avenue North Lot,Paid public parking in the Grand Central District of St. Petersburg.,"Convenient parking for Central Avenue shops, restaurants, and nearby destinations.",1440 1st Ave. N.,"St. Petersburg, FL 33705"
STP-1541 2nd Avenue North Street,574,1541 2nd Avenue North Lot,Paid public parking in the Grand Central District of St. Petersburg.,"Convenient parking for Central Avenue shops, restaurants, and nearby destinations.",1541 2nd Ave. N.,"St. Petersburg, FL 33705"
STP-284 16th Street North,573,284 16th Street North Lot,Paid public parking near the Grand Central District of St. Petersburg.,"Convenient parking for Central Avenue shops, restaurants, and nearby destinations.",284 16th St. N.,"St. Petersburg, FL 33705"
TLH-585,619,585 South Woodward Avenue Lot,Paid public parking near Florida State University and CollegeTown.,"Convenient parking for FSU campus, CollegeTown, and nearby Tallahassee destinations.",585 S. Woodward Ave.,"Tallahassee, FL 32304"
CLT - 1411 S Tryon,485,1411 South Tryon Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1411 S. Tryon St.,"Charlotte, NC 28203"
CLT - 1431 W Morehead St,694,1431 West Morehead Street Lot,"Surface lot parking in FreeMoreWest near West Morehead, Wesley Heights, breweries, restaurants, and I-77 access.","Convenient parking for FreeMoreWest dining, breweries, offices, and quick trips between Uptown and West Charlotte.",1431 W. Morehead St.,"Charlotte, NC 28208"
CLT - 1438 Winnifred Street,562,1438 Winnifred Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1438 Winnifred St.,"Charlotte, NC 28203"
CLT - 1445 S Mint St,406,1445 South Mint Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1445 S. Mint St.,"Charlotte, NC 28203"
CLT - 1447 S Tryon St,445,1447 South Tryon Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1447 S. Tryon St.,"Charlotte, NC 28203"
CLT - 1520 S Tryon St.,618,1520 South Tryon Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1520 S. Tryon St.,"Charlotte, NC 28203"
CLT - 158 W 10th St,652,Charlotte Ballet,"Surface lot parking in Fourth Ward near Charlotte Ballet, Discovery Place Science, McColl Center, and North Tryon.","Convenient parking for performances, classes, arts destinations, Uptown offices, and nearby dining.",158 W. 10th St.,"Charlotte, NC 28202"
CLT - 1800 Central Ave,677,1800 Central Avenue Lot,"Surface lot parking near Central Avenue in Plaza Midwood, close to restaurants, bars, shops, and neighborhood nightlife.","Convenient parking for Plaza Midwood dining, nightlife, local retail, appointments, and Central Avenue visits.",1800 Central Ave.,"Charlotte, NC 28205"
CLT - 1900 South Blvd Lot,555,1900 South Boulevard Lot,"Surface lot parking in South End near South Boulevard, South Tryon, the Rail Trail, breweries, and restaurants.","Convenient parking for South End dining, breweries, office visits, apartments, and light rail access.",1900 South Blvd.,"Charlotte, NC 28203"
CLT - 1961 E 7th St,698,Shops on 7th Lot,"Surface lot parking for Shops on 7th in Elizabeth, close to East 7th Street restaurants and retail.","Convenient parking for Shops on 7th, Elizabeth dining, neighborhood errands, and nearby Midtown access.",1961 E. 7th St.,"Charlotte, NC 28204"
CLT - 2001 E 7th St,701,Pecan Point Lot,Surface lot parking for the Pecan Point area in Elizabeth near East 7th Street dining and retail.,"Convenient parking for Elizabeth restaurants, shops, appointments, and quick access toward Midtown or Uptown.",2001 E. 7th St.,"Charlotte, NC 28204"
CLT - 205 E Bland St,510,205 East Bland Street Lot,"Surface lot parking in the walkable South End core near the Rail Trail, East/West Boulevard, dining, and nightlife.","Convenient parking for South End restaurants, bars, apartments, offices, and neighborhood visits.",205 E. Bland St.,"Charlotte, NC 28203"
CLT - 205 W Morehead St,429,205 West Morehead Street Lot,"Surface lot parking on the South End and Uptown edge near West Morehead, South Tryon, and event destinations.","Convenient parking for South End dining, Uptown offices, stadium-area events, and nearby hotels.",205 W. Morehead St.,"Charlotte, NC 28202"
CLT - 2100 S Tryon St,570,2100 South Tryon Street Lot,"Surface lot parking in South End near South Boulevard, South Tryon, the Rail Trail, breweries, and restaurants.","Convenient parking for South End dining, breweries, office visits, apartments, and light rail access.",2100 S. Tryon St.,"Charlotte, NC 28203"
CLT - 212 W Blvd Tenants,563,212 West Boulevard Tenant Lot,"Tenant parking in the walkable South End core near the Rail Trail, East/West Boulevard, dining, and nightlife.","Convenient parking for South End restaurants, bars, apartments, offices, and neighborhood visits.",212 West Blvd.,"Charlotte, NC 28203"
CLT - 2132 Hawkins St,386,2132 Hawkins Street Lot,"Surface lot parking in South End near the Rail Trail, LYNX Blue Line, dining, breweries, and offices.","Convenient parking for South End restaurants, nightlife, office visits, and quick access toward Uptown.",2132 Hawkins St.,"Charlotte, NC 28203"
CLT - 2150 Hawkins St,617,2150 Hawkins Street Lot,"Surface lot parking in South End near the Rail Trail, LYNX Blue Line, dining, breweries, and offices.","Convenient parking for South End restaurants, nightlife, office visits, and quick access toward Uptown.",2150 Hawkins St.,"Charlotte, NC 28203"
CLT - 217 W Morehead St,431,217 West Morehead Street Lot,"Surface lot parking on the South End and Uptown edge near West Morehead, South Tryon, and event destinations.","Convenient parking for South End dining, Uptown offices, stadium-area events, and nearby hotels.",217 W. Morehead St.,"Charlotte, NC 28202"
CLT - 2170 Tenants,686,2170 Hawkins Street Tenant Lot,"Tenant parking in South End near the Rail Trail, LYNX Blue Line, dining, breweries, and offices.","Convenient parking for South End restaurants, nightlife, office visits, and quick access toward Uptown.",2170 Hawkins St.,"Charlotte, NC 28203"
CLT - 220 E Peterson,690,220 East Peterson Drive Lot,"Surface lot parking near Peterson Drive and South Boulevard in Lower South End, close to dining and entertainment.","Convenient parking for LoSo restaurants, breweries, office visits, and nearby South End destinations.",220 E. Peterson Dr.,"Charlotte, NC 28217"
CLT - 2200 S Tryon St,600,2200 South Tryon Street Lot,"Surface lot parking in South End near South Boulevard, South Tryon, the Rail Trail, breweries, and restaurants.","Convenient parking for South End dining, breweries, office visits, apartments, and light rail access.",2200 S. Tryon St.,"Charlotte, NC 28203"
CLT - 221 N Caldwell All,146,221 North Caldwell Lot,"Event access parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, and Uptown dining.","Convenient parking for arena events, neighborhood dining, offices, and First Ward entertainment.",221 N. Caldwell St.,"Charlotte, NC 28202"
CLT - 230 Peterson Dr,676,230 Peterson Drive Lot,"Surface lot parking near Peterson Drive and South Boulevard in Lower South End, close to dining and entertainment.","Convenient parking for LoSo restaurants, breweries, office visits, and nearby South End destinations.",230 Peterson Dr.,"Charlotte, NC 28217"
CLT - 2833 Griffith St,685,2833 Griffith Street Lot,"Surface lot parking near the South End and LoSo edge, close to transit, offices, dining, and breweries.","Convenient parking for South End and Lower South End restaurants, offices, and neighborhood destinations.",2833 Griffith St.,"Charlotte, NC 28203"
CLT - 301 W Summit St,658,301 West Summit Avenue Lot,"Surface lot parking near West Summit Street in South End, close to offices, dining, and the Rail Trail.","Convenient parking for Kask America, nearby South End businesses, restaurants, and Uptown access.",301 W. Summit St.,"Charlotte, NC 28203"
CLT - 321 N Caldwell,337,321 North Caldwell Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",321 N. Caldwell St.,"Charlotte, NC 28202"
CLT - 3220 N Davidson St,446,3220 North Davidson Street Lot,"Surface lot parking in NoDa near North Davidson, East 35th and 36th Streets, arts, music, dining, and breweries.","Convenient parking for NoDa galleries, live music, restaurants, breweries, shops, and neighborhood events.",3220 N. Davidson St.,"Charlotte, NC 28205"
CLT - 328 N Brevard St,297,328 North Brevard Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",328 N. Brevard St.,"Charlotte, NC 28202"
CLT - 401 N McDowell Residents,635,401 North McDowell Resident Lot,"Resident parking in First Ward near North McDowell, First Ward Park, Spectrum Center, and Uptown offices.","Convenient resident access for First Ward homes, Uptown workdays, dining, and nearby event destinations.",401 N. McDowell St.,"Charlotte, NC 28204"
CLT - 401 W Morehead,397,Doghouse Parking Lot,"Surface lot parking near Doghouse, Bank of America Stadium, Truist Field, South End, and West Morehead.","Convenient parking for game days, Uptown events, South End dining, office visits, and nightlife.",401 W. Morehead St.,"Charlotte, NC 28202"
CLT - 402 W Trade St,689,402 West Trade Street Lot,"Surface lot parking near West Trade Street, Gateway Village, Johnson and Wales, Charlotte Gateway Station, and Uptown offices.","Convenient parking for Gateway District offices, campus visits, transit connections, dining, and Uptown events.",402 W. Trade St.,"Charlotte, NC 28202"
CLT - 402a,248,3rd and Brevard Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",402 E. 3rd St.,"Charlotte, NC 28202"
CLT - 4044 Yancey Rd,696,4044 Yancey Road Lot,"Surface lot parking on Yancey Road in Lower South End near brewery, restaurant, and event destinations.","Convenient parking for LoSo food, drink, social outings, office visits, and South Boulevard access.",4044 Yancey Rd.,"Charlotte, NC 28217"
CLT - 410 E 35th,325,410 East 35th Street Lot,"Surface lot parking in NoDa near North Davidson, East 35th and 36th Streets, arts, music, dining, and breweries.","Convenient parking for NoDa galleries, live music, restaurants, breweries, shops, and neighborhood events.",410 E. 35th St.,"Charlotte, NC 28205"
CLT - 415 E 4th,157,415 East 4th Street Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",415 E. 4th St.,"Charlotte, NC 28202"
CLT - 417 W 6th,176,417 West 6th Street Lot,"Surface lot parking in Fourth Ward near Discovery Place Science, Charlotte Ballet, McColl Center, North Tryon, and Uptown offices.","Convenient parking for Fourth Ward arts, museum visits, dining, office stops, and neighborhood events.",417 W. 6th St.,"Charlotte, NC 28202"
CLT - 426 E Trade,11,426 East Trade Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",426 E. Trade St.,"Charlotte, NC 28202"
CLT - 436 E 36th,327,436 East 36th Street Lot,"Surface lot parking in NoDa near North Davidson, East 35th and 36th Streets, arts, music, dining, and breweries.","Convenient parking for NoDa galleries, live music, restaurants, breweries, shops, and neighborhood events.",436 E. 36th St.,"Charlotte, NC 28205"
CLT - 4601 Park Rd,447,4601 Park Road Lot,"Surface lot parking along the Park Road corridor near Park Road Shopping Center, Montford dining, offices, and Myers Park access.","Convenient parking for Park Road shopping, restaurants, office visits, Freedom Park, and Myers Park destinations.",4601 Park Rd.,"Charlotte, NC 28209"
CLT - 500 N. Tryon Street,585,500 North Tryon Street Lot,"Surface lot parking on the North Tryon corridor near Charlotte Ballet, Discovery Place Science, McColl Center, and Uptown offices.","Convenient parking for North Tryon arts, museum visits, offices, dining, and nearby Fourth Ward destinations.",500 N. Tryon St.,"Charlotte, NC 28202"
CLT - 513 E 35th,354,513 East 35th Street Lot,"Surface lot parking in NoDa near North Davidson, East 35th and 36th Streets, arts, music, dining, and breweries.","Convenient parking for NoDa galleries, live music, restaurants, breweries, shops, and neighborhood events.",513 E. 35th St.,"Charlotte, NC 28205"
CLT - 515 N Church,115,515 North Church Street Lot,"Surface lot parking in Fourth Ward near Discovery Place Science, Charlotte Ballet, McColl Center, North Tryon, and Uptown offices.","Convenient parking for Fourth Ward arts, museum visits, dining, office stops, and neighborhood events.",515 N. Church St.,"Charlotte, NC 28202"
CLT - 515 N Church RES,209,515 North Church Residential User Lot,"Resident parking in Fourth Ward near North Church Street, North Tryon arts venues, and Uptown offices.","Convenient resident access for Fourth Ward homes, Uptown workdays, restaurants, and neighborhood events.",515 N. Church St.,"Charlotte, NC 28202"
CLT - 521 N College,47,521 North College Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",521 N. College St.,"Charlotte, NC 28202"
CLT - 601A S. Cedar Street,389,601A South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",601A S. Cedar St.,"Charlotte, NC 28202"
CLT - 601B S. Cedar Street,390,601B South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",601B S. Cedar St.,"Charlotte, NC 28202"
CLT - 601B2 S. Cedar Street,391,601B2 South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",601B2 S. Cedar St.,"Charlotte, NC 28202"
CLT - 601C S. Cedar Street,392,601C South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",601C S. Cedar St.,"Charlotte, NC 28202"
CLT - 601E S. Cedar Street,393,601E South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",601E S. Cedar St.,"Charlotte, NC 28202"
CLT - 601F S. Cedar Street,535,601F South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",601F S. Cedar St.,"Charlotte, NC 28202"
CLT - 601H S. Cedar Street,395,505 South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",505 S. Cedar St.,"Charlotte, NC 28202"
CLT - 618 E Morehead St,688,618 East Morehead Street Lot,"Surface lot parking near East Morehead and Dilworth, close to Atrium Health, Metropolitan, restaurants, and greenway access.","Convenient parking for medical visits, dining, shopping, workday stops, and Midtown or Dilworth appointments.",618 E. Morehead St.,"Charlotte, NC 28203"
CLT - 701 E 5th,352,701 East 5th Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",701 E. 5th St.,"Charlotte, NC 28202"
CLT - 831 Morehead Tenants,646,831 East Morehead Street Lot,"Tenant parking near East Morehead and Dilworth, close to Atrium Health, Metropolitan, restaurants, and greenway access.","Convenient parking for medical visits, dining, shopping, workday stops, and Midtown or Dilworth appointments.",831 E. Morehead St.,"Charlotte, NC 28202"
CLT - 919 S Mcdowell,616,919 South McDowell Street Lot,"Surface lot parking in Midtown Charlotte near Metropolitan, Little Sugar Creek Greenway, Atrium Health, and office destinations.","Convenient parking for Midtown shopping, dining, greenway access, medical visits, and nearby office stops.",919 S. McDowell St.,"Charlotte, NC 28204"
CLT - 1000 - Boxer Building,341,The Boxer Building Lot,"Surface lot parking for the Boxer Building area near West Morehead, FreeMoreWest, and Wesley Heights.","Convenient parking for West Morehead offices, FreeMoreWest restaurants, breweries, and I-77 access.",1000 W. Morehead St.,"Charlotte, NC 28208"
CLT - 1001 Morehead,114,1001 Morehead Square Lot,"Surface lot parking near East Morehead and Dilworth, close to Atrium Health, Metropolitan, restaurants, and greenway access.","Convenient parking for medical visits, dining, shopping, workday stops, and Midtown or Dilworth appointments.",1001 Morehead Sq.,"Charlotte, NC 28203"
CLT - 1023 W Morehead,255,1023 West Morehead Street Lot,"Surface lot parking in FreeMoreWest near West Morehead, Wesley Heights, breweries, restaurants, and I-77 access.","Convenient parking for FreeMoreWest dining, breweries, offices, and quick trips between Uptown and West Charlotte.",1023 W. Morehead St.,"Charlotte, NC 28208"
CLT - 1025 S Cedar,271,1025 South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",1025 S. Cedar St.,"Charlotte, NC 28208"
CLT - 115 East Blvd,672,115 East Boulevard Lot,"Surface lot parking near East Morehead and Dilworth, close to Atrium Health, Metropolitan, restaurants, and greenway access.","Convenient parking for medical visits, dining, shopping, workday stops, and Midtown or Dilworth appointments.",115 East Blvd.,"Charlotte, NC 28203"
CLT - 118 S Church,249,118 South Church Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",118 S. Church St.,"Charlotte, NC 28202"
CLT - 120 N Myers,49,120 North Myers Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",120 N. Myers St.,"Charlotte, NC 28202"
CLT - 122 Freeland,605,122 Freeland Lane Lot,"Surface lot parking near Lower South End and South Tryon access, close to breweries, restaurants, and offices.","Convenient parking for LoSo visits, South End access, workday stops, and nearby entertainment.",122 Freeland Ln.,"Charlotte, NC 28217"
CLT - 124 S Poplar,2,124 South Poplar Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",124 S. Poplar St.,"Charlotte, NC 28202"
CLT - 131 Winona St,385,131 Winona Street Lot,"Surface lot parking in South End near the Rail Trail, LYNX Blue Line, dining, breweries, and offices.","Convenient parking for South End restaurants, nightlife, office visits, and quick access toward Uptown.",131 Winona St.,"Charlotte, NC 28203"
CLT - 1310 S Tryon St,340,1310 South Tryon Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1310 S. Tryon St.,"Charlotte, NC 28203"
CLT - 1426 S Tryon St,529,1426 South Tryon Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1426 S. Tryon St.,"Charlotte, NC 28203"
CLT - 1435 S Tryon St,504,1435 South Tryon Street Lot,"Surface lot parking in South End near South Tryon, South Mint, the Rail Trail, restaurants, breweries, and offices.","Convenient parking for South End dining, nightlife, retail, and quick access to Uptown events.",1435 S. Tryon St.,"Charlotte, NC 28203"
CLT - 148 W Morehead St,345,148 West Morehead Street Lot,"Surface lot parking on the South End and Uptown edge near West Morehead, South Tryon, and event destinations.","Convenient parking for South End dining, Uptown offices, stadium-area events, and nearby hotels.",148 W. Morehead St.,"Charlotte, NC 28202"
CLT - 201 N Irwin Ave,69,201 North Irwin Avenue Lot,"Surface lot parking near West Trade Street, Gateway Village, Johnson and Wales, Charlotte Gateway Station, and Uptown offices.","Convenient parking for Gateway District offices, campus visits, transit connections, dining, and Uptown events.",201 N. Irwin Ave.,"Charlotte, NC 28202"
CLT - 206 AP Surface,564,Auto Park Garage Surface Lot,"Garage parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",209 S. Poplar St.,"Charlotte, NC 28202"
CLT - 206 S Graham St,42,206 South Graham Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",206 S. Graham St.,"Charlotte, NC 28202"
CLT - 208 S Poplar St,19,208 South Poplar Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",208 S. Poplar St.,"Charlotte, NC 28202"
CLT - 210 S Brevard St,208,210 South Brevard Street Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",210 S. Brevard St.,"Charlotte, NC 28202"
CLT - 212 S Graham St,105,212 South Graham Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",212 S. Graham St.,"Charlotte, NC 28202"
CLT - 214 N Graham St,81,214 North Graham Street Lot,"Surface lot parking in Fourth Ward near Discovery Place Science, Charlotte Ballet, McColl Center, North Tryon, and Uptown offices.","Convenient parking for Fourth Ward arts, museum visits, dining, office stops, and neighborhood events.",214 N. Graham St.,"Charlotte, NC 28202"
CLT - 214 W Tremont Ave,357,214 West Tremont Avenue Lot,"Surface lot parking in the walkable South End core near the Rail Trail, East/West Boulevard, dining, and nightlife.","Convenient parking for South End restaurants, bars, apartments, offices, and neighborhood visits.",214 W. Tremont Ave.,"Charlotte, NC 28203"
CLT - 221 N Caldwell St,124,221 North Caldwell Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",221 N. Caldwell St.,"Charlotte, NC 28202"
